rid,fecha_dictamen
1,29-11-2008
2,14-05-2015
10,08-08-2016
12,01-05-2017
14,07-08-2009
15,04-09-1992
17,12-12-2013
22,23-08-2016
23,14-06-2012
24,09-12-2017
25,13-10-2016
28,22-09-2002
30,09-08-2004
35,16-04-2016
36,11-08-2015
37,21-09-2017
38,07-12-2018
39,20-06-1989
44,09-11-2014
45,16-01-2007
47,25-10-2002
51,06-10-2014
52,22-12-2008
53,20-03-2018
55,25-12-2008
56,21-03-2019
58,27-04-2014
60,13-02-2018
63,14-04-2017
68,07-07-2019
70,18-07-2017
72,06-10-1995
74,09-09-2016
77,03-11-2006
78,05-12-1998
79,04-12-2013
82,02-09-2017
87,04-02-2017
92,20-12-2013
94,13-04-2011
97,15-04-1999
98,19-02-2012
99,29-06-2016
100,11-05-2011
108,01-12-2011
109,25-02-2005
111,20-10-2018
112,18-11-2011
118,10-11-1999
122,26-04-2007
125,26-08-2019
128,26-10-2017
136,20-08-2017
139,17-09-2017
140,30-01-2011
146,05-06-2017
147,30-03-2014
149,09-08-2019
150,21-02-1998
157,01-04-2018
167,24-10-2016
170,05-01-2018
171,06-08-1996
177,30-11-2011
178,10-12-1988
180,22-09-2014
181,15-11-2014
185,08-05-2019
186,19-07-2019
190,13-02-2016
191,27-02-2018
193,23-04-2013
197,06-01-2016
200,20-01-2012
201,12-08-2019
203,12-04-2018
206,29-12-1999
208,04-08-2000
209,11-01-2005
211,10-08-2018
212,11-08-2017
214,14-03-2018
215,09-11-2005
218,26-07-2018
225,26-10-2011
227,22-05-2007
231,02-08-2019
232,27-07-2018
242,13-10-2017
246,03-02-2018
251,02-06-1995
252,07-08-1989
257,10-06-2018
258,24-12-2009
262,08-04-2017
274,10-12-2018
277,29-07-2007
279,14-03-2015
281,24-05-2019
293,20-03-2010
294,19-07-2016
308,12-04-2016
315,08-09-2017
318,07-06-2018
321,25-12-2007
322,09-10-2012
323,02-09-2006
327,30-03-1999
332,24-10-1991
334,11-11-2015
335,09-07-2019
336,06-05-2019
343,25-05-2018
345,14-01-2012
346,27-10-1992
352,12-03-2017
357,08-07-2017
366,07-08-1995
369,16-06-2016
371,03-12-2013
372,07-02-2011
374,15-05-2009
