rid,lid
1,87
2,88
3,89
4,90
5,91
6,92
7,73
8,93
9,94
10,95
11,52
12,23
13,96
14,97
15,98
16,88
17,45
18,99
19,100
20,101
21,102
22,103
23,75
24,15
25,104
26,53
27,105
28,58
29,106
30,107
31,102
32,40
33,9
34,108
35,109
36,110
37,61
38,111
39,112
40,16
41,113
42,114
43,115
44,116
45,114
46,18
47,117
48,118
49,29
50,119
51,120
52,121
53,91
54,122
55,54
56,123
57,124
58,125
59,126
60,99
61,127
62,119
63,26
64,78
65,96
66,128
67,129
68,130
69,131
70,132
71,133
72,134
73,135
74,136
75,137
76,17
77,138
78,139
79,140
80,76
81,141
82,142
83,14
84,143
85,18
86,144
87,145
88,97
89,119
90,110
91,133
92,146
93,147
94,148
95,105
96,149
97,129
98,150
99,151
100,90
101,152
102,153
103,154
104,138
105,155
106,12
107,156
108,114
109,157
110,15
111,118
112,52
113,36
114,158
115,159
116,100
117,160
118,161
119,162
120,163
121,3
122,164
123,111
124,139
125,97
126,125
127,165
128,28
129,166
130,126
131,103
132,31
133,167
134,78
135,23
136,168
137,169
138,56
139,147
140,170
141,171
142,27
143,172
144,62
145,173
146,174
147,174
148,175
149,176
150,67
151,177
152,80
153,72
154,178
155,102
156,179
157,180
158,177
159,100
160,163
161,113
162,143
163,60
164,174
165,148
166,181
167,174
168,97
169,57
170,182
171,163
172,183
173,184
174,70
175,185
176,131
177,186
178,187
179,150
180,160
181,58
182,105
183,103
184,112
185,118
186,132
187,188
188,189
189,148
190,190
191,191
192,192
193,193
194,142
195,194
196,195
197,94
198,89
199,73
200,196
201,197
202,198
203,199
204,200
205,88
206,131
207,201
208,177
209,2
210,63
211,185
212,127
213,202
214,203
215,204
216,80
217,205
218,206
219,207
220,156
221,208
222,90
223,186
224,6
225,86
226,38
227,53
228,177
229,62
230,62
231,207
232,209
233,159
234,210
235,6
236,211
237,4
238,97
239,212
240,48
241,129
242,213
243,26
244,4
245,123
246,182
247,70
248,167
249,214
250,153
251,215
252,84
253,216
254,168
255,43
256,97
257,217
258,58
259,218
260,219
261,220
262,17
263,221
264,51
265,110
266,214
267,222
268,174
269,167
270,223
271,106
272,71
273,28
274,32
275,224
276,16
277,85
278,220
279,119
280,25
281,223
282,225
283,58
284,226
285,141
286,227
287,188
288,228
289,229
290,161
291,230
292,167
293,231
294,116
295,181
296,224
297,188
298,209
299,218
300,62
301,152
302,30
303,221
304,202
305,232
306,204
307,227
308,192
309,233
310,103
311,216
312,130
313,38
314,174
315,234
316,27
317,235
318,7
319,58
320,236
321,168
322,237
323,37
324,117
325,58
326,1
327,238
328,145
329,150
330,34
331,140
332,200
333,217
334,124
335,23
336,239
337,63
338,240
339,241
340,226
341,231
342,93
343,242
344,197
345,75
346,30
347,243
348,184
349,106
350,187
351,208
352,158
353,244
354,2
355,117
356,51
357,245
358,117
359,246
360,247
361,108
362,236
363,248
364,189
365,158
366,249
367,250
368,251
369,142
370,252
371,90
372,156
373,180
374,51
375,253
376,135
377,215
378,135
379,254
380,33
381,156
382,33
383,82
384,4
385,102
386,234
387,67
388,49
389,190
390,249
391,117
392,255
393,241
394,42
395,130
396,116
397,106
398,256
399,93
400,35
401,257
402,77
403,258
404,259
405,71
406,260
407,142
408,156
409,106
410,261
411,193
412,262
413,260
414,59
415,157
416,263
417,220
418,57
419,264
420,265
421,209
422,266
423,102
424,236
425,220
426,267
427,171
428,120
429,267
430,154
431,268
432,75
433,22
434,247
435,112
436,113
437,32
438,200
439,106
440,20
441,155
442,269
443,106
444,126
445,211
446,24
447,119
448,270
449,76
450,229
451,55
452,264
453,268
454,271
455,272
456,16
457,273
458,80
459,245
460,164
461,29
462,239
463,274
464,182
465,132
466,275
467,47
468,42
469,68
470,159
471,263
472,86
473,276
474,4
475,220
476,277
477,278
478,8
479,279
480,258
481,85
482,198
483,31
484,197
485,22
486,276
487,101
488,248
489,188
490,168
491,14
492,280
493,231
494,281
495,94
496,64
497,133
498,282
499,283
500,81
501,33
502,234
503,15
504,92
505,24
506,93
507,13
508,284
509,155
510,163
511,2
512,285
513,27
514,11
515,286
516,128
517,182
518,193
519,140
520,275
521,9
522,142
523,159
524,192
525,2
526,219
527,53
528,175
529,287
