rid,oid
1,1
1,2
1,3
2,4
2,5
2,6
2,7
2,8
3,9
3,10
3,11
3,12
3,13
4,14
4,15
4,16
4,17
5,18
5,19
5,20
5,21
5,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
7,30
7,31
7,32
7,33
7,34
8,35
8,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
10,44
10,45
10,46
10,47
10,48
11,49
11,50
11,51
11,52
11,53
11,54
11,55
12,56
12,57
12,58
12,59
12,60
12,61
13,62
13,63
13,64
13,65
13,66
13,67
14,68
14,69
14,70
14,71
14,72
15,73
15,74
15,75
16,76
16,77
16,78
16,79
16,80
16,81
17,82
17,83
17,84
17,85
17,86
17,87
18,88
18,89
18,90
18,91
18,92
18,93
18,94
18,95
19,96
19,97
19,98
19,99
19,100
19,101
19,102
20,103
20,104
20,105
20,106
20,28
20,107
21,108
21,109
21,110
21,111
21,112
21,113
21,3
22,114
22,115
22,76
22,116
22,117
23,115
23,118
23,119
23,120
23,121
23,122
23,123
23,124
24,51
24,125
24,126
25,96
25,127
25,128
25,129
25,130
25,131
26,132
26,133
26,134
26,135
26,95
27,136
27,137
27,138
27,139
27,140
27,141
28,142
28,143
28,144
28,145
28,146
28,147
29,148
29,149
29,88
29,150
29,151
29,152
29,153
30,154
30,155
30,156
30,157
30,91
30,158
31,159
31,4
31,160
31,161
31,162
33,163
33,85
33,164
33,165
33,130
33,166
33,167
34,168
34,169
34,170
34,171
35,97
35,154
35,172
35,173
35,174
35,175
35,176
35,177
36,178
36,179
37,180
37,84
37,85
37,181
37,182
37,183
38,184
38,185
38,186
39,187
39,188
39,189
39,190
40,191
40,192
40,193
40,194
41,195
41,196
41,197
41,198
41,199
42,200
42,201
42,134
42,202
43,203
43,204
43,205
44,68
44,206
44,207
44,208
44,209
44,198
45,210
45,211
45,212
46,49
46,209
46,213
46,214
46,215
47,216
47,217
47,5
48,218
48,219
48,220
48,58
49,221
49,222
49,47
49,58
50,223
50,224
50,225
50,226
50,227
50,228
51,229
51,230
51,231
51,232
51,233
51,234
52,235
52,204
52,236
53,221
53,98
53,84
53,237
53,238
53,239
54,103
54,85
54,38
55,240
55,241
55,242
55,243
55,244
56,245
56,246
56,247
57,136
57,248
57,249
57,250
57,251
58,252
58,165
59,253
59,254
59,255
59,186
59,93
59,87
60,256
60,257
60,258
60,259
60,260
60,261
60,33
60,262
61,263
61,154
61,264
61,265
61,266
61,267
61,160
62,268
62,269
62,270
62,153
63,271
63,272
63,273
63,274
63,102
64,275
64,276
64,277
64,278
64,279
64,280
65,281
65,282
65,54
65,207
66,283
66,284
66,285
66,286
67,287
67,23
67,288
67,217
67,289
67,290
68,149
68,18
68,266
68,291
68,292
68,293
69,294
69,295
69,296
69,6
70,297
70,298
70,299
70,300
70,211
71,301
71,302
71,303
71,186
72,304
72,204
72,305
72,306
72,307
72,308
72,309
72,87
73,310
73,311
73,261
73,312
73,211
73,306
73,313
74,297
74,208
74,314
74,315
74,316
75,82
75,317
75,318
75,128
75,306
75,319
75,320
76,51
76,321
76,185
76,322
76,78
77,323
77,324
77,325
77,326
77,327
77,328
78,329
78,330
78,105
78,331
78,251
79,332
79,333
79,334
79,335
80,336
80,64
80,337
80,53
80,338
81,205
81,339
81,87
81,340
82,341
82,342
82,343
82,344
82,183
83,229
83,278
83,189
83,121
84,345
84,63
84,346
84,43
84,244
84,347
84,348
85,349
86,350
86,340
86,351
86,352
86,353
86,354
86,355
87,356
87,357
87,341
87,358
87,359
87,99
87,360
87,252
88,361
88,163
88,192
88,344
88,362
89,363
89,364
89,365
90,149
90,366
90,367
90,368
90,369
90,370
90,371
90,372
91,373
91,374
91,375
91,140
91,376
92,377
92,57
92,314
92,248
92,306
92,378
92,153
93,379
93,85
93,380
93,381
93,328
94,382
94,111
94,72
95,257
95,383
95,384
95,385
95,386
96,387
96,388
96,389
96,390
96,289
96,391
97,392
97,393
97,394
97,395
98,210
98,116
98,396
98,324
99,176
99,397
99,314
99,398
100,360
100,399
101,400
101,401
101,232
102,402
102,403
102,404
102,405
102,406
103,377
103,109
103,407
103,361
103,35
103,408
104,409
104,357
104,147
105,407
105,410
105,334
105,411
105,306
106,412
106,413
106,414
106,415
107,416
107,112
107,417
107,418
108,419
108,420
108,421
108,142
108,422
108,423
108,391
108,424
108,251
109,382
109,425
109,178
109,337
109,175
110,115
110,256
110,426
110,189
110,267
110,427
110,428
110,429
111,430
111,431
111,278
111,432
111,131
112,433
112,434
112,35
112,435
112,309
113,83
113,436
113,239
113,437
114,297
114,51
114,269
114,313
114,438
115,62
115,439
116,440
116,70
116,441
116,315
116,73
116,442
117,37
117,90
117,321
117,443
117,183
117,439
118,151
118,196
118,64
118,444
118,94
119,445
119,205
119,344
119,446
119,447
120,4
120,448
120,259
120,311
120,390
120,449
120,328
120,450
121,451
121,452
121,290
121,391
121,355
121,437
122,453
122,259
122,454
122,187
122,328
122,347
123,124
123,380
123,455
123,456
124,42
124,453
124,457
124,458
125,459
125,290
125,121
126,460
126,461
126,462
126,269
126,41
126,463
126,464
127,465
127,466
127,467
127,468
128,469
128,174
128,470
128,384
129,471
129,273
129,472
129,473
129,474
129,408
130,45
130,17
130,475
130,337
130,91
130,419
131,476
131,477
131,432
131,234
131,376
131,439
131,478
132,180
132,479
132,270
132,480
133,159
133,481
133,482
133,483
133,484
133,265
134,485
134,486
134,487
134,488
135,137
135,489
135,490
135,491
135,153
135,492
136,419
136,493
136,162
136,434
137,494
137,345
137,495
137,313
137,437
137,496
138,497
138,489
138,318
138,39
138,498
139,499
139,254
139,298
139,500
139,124
139,501
140,275
140,240
140,502
140,503
140,365
140,504
141,499
141,461
141,373
141,388
141,505
141,506
141,507
142,508
143,509
143,325
143,510
143,391
143,511
144,512
144,513
144,427
144,53
144,514
145,515
145,516
145,109
145,517
145,518
145,519
145,520
145,521
146,258
146,489
146,268
146,165
146,522
147,117
147,523
147,524
148,525
148,526
148,474
148,527
148,348
149,428
149,110
149,528
149,463
149,511
150,357
150,529
150,256
150,441
150,283
151,530
151,531
151,532
151,15
151,168
151,428
152,88
152,84
152,533
152,330
152,352
152,534
152,535
153,116
153,536
153,537
154,238
154,4
154,538
154,518
155,539
155,118
155,278
155,473
155,534
155,540
156,115
156,541
156,542
156,202
156,543
156,468
156,544
156,545
156,419
157,546
157,547
157,123
158,548
159,507
159,549
159,550
159,551
159,552
159,72
160,553
160,554
160,343
160,555
160,556
160,557
161,558
161,509
161,559
161,560
161,561
162,562
162,563
162,564
162,341
162,478
163,565
163,566
163,567
163,385
164,350
164,568
164,478
164,468
165,567
165,569
165,267
166,570
166,334
166,232
166,571
166,217
166,572
166,573
167,31
167,465
167,519
167,274
167,574
168,426
168,575
168,576
168,508
168,577
168,578
169,219
169,579
169,580
169,581
170,553
170,20
170,429
170,21
170,582
170,283
171,583
171,584
171,151
171,585
171,304
171,301
172,242
172,586
172,306
172,587
173,588
173,484
173,427
173,67
173,171
174,323
174,329
174,589
174,590
174,180
174,295
175,591
175,269
175,559
175,592
175,110
175,593
176,515
176,271
176,594
176,595
176,3
176,596
177,221
177,597
177,598
177,226
177,376
178,599
178,586
178,600
179,560
179,601
179,268
179,385
179,165
180,566
180,602
181,157
181,603
181,555
181,491
181,604
182,351
182,605
182,326
182,75
182,33
183,460
183,606
183,190
183,607
183,488
184,83
184,608
184,270
184,609
185,1
185,610
185,517
185,484
186,611
187,96
187,322
187,492
187,320
188,612
188,44
188,101
188,613
189,290
189,278
189,614
189,615
190,325
190,33
190,605
191,209
191,63
191,161
191,616
191,429
192,553
192,617
192,500
192,618
192,574
193,37
193,619
193,454
193,620
193,85
193,555
193,621
193,622
194,623
194,624
194,286
194,615
195,20
195,32
195,188
195,625
195,181
196,460
196,57
196,543
196,626
196,627
196,628
197,186
197,629
197,431
198,630
198,619
198,631
198,632
198,633
198,226
199,9
199,634
199,305
199,446
199,81
199,596
200,635
200,636
200,609
200,637
200,225
200,510
201,483
201,434
201,465
201,638
201,436
202,98
202,639
202,408
203,640
203,377
203,201
203,422
203,300
203,182
204,590
204,56
204,641
204,642
204,439
205,643
205,644
205,161
205,645
205,417
205,646
206,647
206,24
206,648
207,187
207,494
207,548
208,649
208,650
208,212
208,651
209,652
209,363
209,212
209,142
210,653
210,654
210,518
210,288
210,128
210,496
211,496
211,655
211,656
211,657
212,558
212,385
212,198
213,407
213,269
213,658
213,659
213,170
214,660
214,272
214,661
214,662
214,663
215,635
215,664
215,515
215,665
215,666
215,112
216,667
216,668
216,599
216,214
216,235
217,424
217,492
217,669
217,670
218,373
218,401
218,671
218,195
219,672
219,594
219,439
219,462
219,663
219,233
219,183
219,113
220,673
220,495
220,674
220,85
220,427
220,502
221,142
221,675
221,676
221,677
221,678
222,679
222,680
222,681
222,163
222,337
222,682
222,107
223,683
223,293
223,9
223,397
224,114
224,684
224,685
224,7
224,91
225,26
225,629
225,237
226,686
226,587
226,687
226,648
227,688
227,674
227,325
227,401
227,567
228,436
228,484
228,384
229,37
229,689
229,542
229,690
229,227
229,396
230,691
230,692
230,426
230,505
230,146
230,693
231,694
231,670
232,19
232,139
232,445
232,695
232,696
232,193
233,598
233,381
233,697
234,698
234,366
234,699
234,11
234,173
234,439
235,68
235,44
235,340
235,431
235,138
235,700
236,701
236,457
236,147
236,227
237,702
237,703
237,485
237,704
237,123
237,705
237,55
238,516
238,706
238,454
238,707
239,486
239,408
239,298
240,708
240,61
240,445
241,382
241,25
241,564
241,654
241,561
242,400
242,398
242,517
242,571
242,709
242,33
243,549
243,543
243,710
243,164
243,326
243,199
244,407
244,711
244,480
244,25
244,86
245,30
245,248
245,233
245,449
245,376
246,684
246,407
246,712
246,713
246,714
246,381
246,424
246,596
247,357
247,37
247,668
247,242
247,608
247,473
247,715
248,716
248,586
248,717
248,561
248,346
248,552
248,718
249,410
249,719
249,277
249,306
249,720
249,721
249,722
250,691
250,723
250,724
250,116
250,725
251,356
251,49
251,680
251,726
251,390
252,51
252,264
252,262
253,37
253,280
253,727
254,263
254,69
254,24
254,728
254,509
255,583
255,206
255,440
255,79
255,502
255,647
256,729
256,238
256,207
256,572
257,433
257,482
257,241
257,211
257,346
257,730
258,37
258,38
258,389
258,305
258,693
258,731
259,189
259,732
259,172
259,437
260,681
260,733
260,306
260,160
260,734
261,529
261,735
261,667
261,736
261,737
261,199
262,738
262,291
262,544
262,66
262,474
262,79
262,645
262,739
263,610
263,604
263,740
264,741
264,742
264,119
264,743
265,744
265,150
265,745
265,741
265,406
266,127
266,452
266,472
266,306
266,642
267,746
267,83
267,366
267,207
268,747
268,748
268,749
268,380
269,750
269,703
269,485
269,616
269,437
270,115
270,751
270,752
270,193
270,478
271,753
271,482
271,609
272,208
272,729
272,754
272,39
273,553
273,755
273,246
273,67
273,442
273,319
273,478
274,439
274,756
274,28
274,87
274,757
275,124
275,436
275,406
275,712
276,758
276,142
276,759
276,572
276,167
277,115
277,322
277,309
277,177
277,94
278,679
278,760
278,517
278,130
278,346
279,761
279,762
279,763
279,764
279,669
279,715
280,215
280,765
280,362
280,329
281,209
281,211
281,32
282,323
282,18
282,766
282,339
282,767
282,93
283,220
283,97
283,198
283,480
284,151
284,768
284,683
284,435
284,769
285,74
285,716
285,741
285,770
285,686
285,447
285,450
286,761
286,771
286,638
286,160
286,567
286,424
286,177
286,581
287,476
287,139
287,772
287,645
287,162
287,773
288,675
288,14
289,774
289,775
289,65
289,776
289,492
290,777
290,515
290,44
290,260
290,321
290,405
291,494
291,68
291,456
291,360
291,778
292,495
292,117
292,742
292,380
292,779
292,174
292,92
293,333
293,404
293,246
293,296
293,520
293,218
294,342
294,637
294,259
294,326
294,147
294,396
295,780
295,781
295,569
296,49
296,782
296,282
296,142
296,783
296,262
296,697
297,18
297,784
297,774
297,785
297,8
297,786
297,787
297,371
298,301
298,300
298,601
299,553
299,232
299,403
299,788
299,79
299,7
299,789
300,70
300,790
300,138
300,111
300,43
301,259
301,414
301,791
301,792
301,551
302,127
302,719
302,793
302,794
302,46
302,775
302,286
303,795
303,366
303,51
303,796
303,694
303,61
303,797
303,205
304,684
304,798
304,799
304,4
304,374
304,444
304,769
305,585
305,703
305,134
305,650
305,666
305,782
306,679
306,652
306,571
306,188
306,741
306,690
306,800
307,801
307,555
308,287
308,751
308,338
308,527
308,348
309,802
309,33
309,606
310,45
310,692
310,401
310,625
310,803
311,804
311,116
311,523
312,499
312,119
312,268
312,165
312,805
312,582
312,124
313,798
313,680
313,715
314,9
314,549
314,795
314,441
314,806
315,807
315,750
315,492
315,808
316,612
316,235
316,794
317,809
317,563
317,810
317,584
318,811
318,566
318,749
318,518
318,812
319,397
319,533
319,813
319,444
319,622
320,346
320,52
320,528
321,530
321,814
321,484
321,815
321,456
322,744
322,760
322,637
322,363
322,816
322,491
322,55
323,74
323,721
323,264
323,79
323,491
323,817
324,220
324,340
324,818
324,819
325,553
325,377
325,617
325,566
325,404
325,820
325,821
326,738
326,250
326,11
327,82
327,186
327,557
327,347
327,496
