id_mov;presupuesto;fecha;n_esperado_personas;lugar
1;285005;17-10-03;0;75315 Cherokee Pass
2;313823;81-03-03;0;89 Chinook Street
3;606140;12-10-27;2;893 Merrick Point
4;627148;66-05-01;2;617 Rowland Place
5;597296;14-04-17;5;75622 Merrick Terrace
6;539154;07-09-30;6;984 Spaight Avenue
7;654165;10-06-09;6;3095 Portage Center
8;754777;10-02-26;7;15 Cody Court
9;932449;96-11-08;8;46 Straubel Place
10;461147;12-11-19;8;0214 Northridge Terrace
11;702863;82-04-25;9;177 Weeping Birch Pass
12;474369;88-05-30;10;216 Maple Wood Trail
13;322096;01-12-30;16;9 Waubesa Place
14;345173;92-01-14;19;89 Morrow Center
15;323125;16-07-03;19;8710 Pond Place
16;453848;93-08-07;22;5 Sauthoff Road
17;959843;86-11-17;22;22 Hollow Ridge Crossing
18;995520;19-03-15;23;1 4th Terrace
19;844773;09-04-04;24;0 Clarendon Parkway
20;432137;12-01-04;26;88 Anthes Avenue
21;887017;07-08-07;26;67500 8th Alley
22;971434;17-08-04;27;4 Northview Street
23;537270;18-01-19;28;9 Maple Wood Court
24;130741;81-11-04;30;07492 Mallard Center
25;851342;92-01-13;31;0550 Maple Wood Hill
26;864006;64-03-26;34;7 Schmedeman Trail
27;413587;11-02-25;34;41 Sullivan Place
28;228133;82-04-27;35;268 Badeau Road
29;185431;81-08-18;36;43 Hauk Center
30;833814;83-02-03;37;613 Evergreen Road
31;194005;99-07-02;39;88 Anthes Avenue
32;650739;00-09-21;40;1 Logan Trail
33;579517;57-03-30;44;18 Bartelt Terrace
34;17688;02-02-01;45;70 8th Plaza
35;926538;90-07-12;51;1 Forster Street
36;625945;93-10-20;52;7508 Esch Point
37;579836;12-07-24;52;424 Goodland Alley
38;58210;06-05-01;53;9004 Lakeland Street
39;448956;19-07-06;55;55 American Lane
40;195464;92-03-06;57;4 Fuller Court
41;960616;61-08-05;57;80837 Meadow Valley Plaza
42;930479;18-11-14;57;278 Nevada Trail
43;606836;80-07-28;60;199 Bellgrove Place
44;146857;11-12-29;60;5 Towne Avenue
45;5005;05-03-04;62;956 Rusk Terrace
46;474569;01-04-22;69;956 Rusk Terrace
47;779888;06-03-04;71;0886 Hoffman Court
48;839557;71-08-07;75;586 Sunbrook Point
49;459020;15-07-13;76;65 Reinke Lane
50;581585;19-06-10;79;3 Corscot Lane
51;384397;16-03-12;80;03009 Birchwood Terrace
52;495127;03-12-18;80;56 Daystar Way
53;505722;03-04-28;82;13 Shasta Terrace
54;654622;18-02-01;83;4604 Annamark Street
55;318552;85-07-07;88;8697 Browning Court
56;694608;72-12-04;88;4040 East Drive
57;721387;72-04-09;93;05 Autumn Leaf Crossing
58;591423;92-08-13;96;2 Ronald Regan Plaza
59;856940;02-05-25;97;0593 Stoughton Plaza
60;161852;91-05-12;97;0 Coleman Terrace
61;78241;19-01-14;102;781 Heffernan Place
62;718556;85-10-28;102;79 Crescent Oaks Trail
63;593170;11-06-21;110;9 Doe Crossing Way
64;991931;85-01-29;110;58 Declaration Lane
65;53935;95-09-12;112;3078 Huxley Plaza
66;959938;98-04-18;114;9157 Union Center
67;685925;07-04-20;114;23 Buena Vista Place
68;370908;87-08-15;114;06 Stang Drive
69;12006;87-07-12;116;66505 Parkside Terrace
70;871093;87-07-11;116;7384 Memorial Terrace
71;767649;06-11-19;119;176 Debs Street
72;323146;61-01-11;120;44 Maple Court
73;292060;08-01-14;122;6 Mesta Pass
74;840258;05-03-22;127;7 Sycamore Junction
75;417874;90-09-01;128;43 Kipling Trail
76;506624;87-11-29;132;7384 Memorial Terrace
77;881213;04-08-10;134;8786 Pearson Hill
78;544431;12-03-25;135;10930 Monument Crossing
79;550703;15-06-16;135;562 Bluejay Park
80;859171;80-09-12;137;06 Nevada Hill
81;753722;19-01-29;139;96 Stone Corner Avenue
82;282665;96-12-19;140;7532 3rd Way
83;762865;12-11-28;143;7 Ryan Junction
84;901513;07-06-13;144;7 Longview Junction
85;664174;19-06-05;145;2333 Tomscot Parkway
86;531082;00-06-03;145;249 Rowland Avenue
87;999841;02-11-21;146;870 Gina Hill
88;522970;13-10-31;149;78 Declaration Trail
89;398197;14-03-03;151;15715 Cottonwood Road
90;304814;19-02-24;156;445 Moose Road
91;897727;08-08-19;156;920 Prentice Court
92;352996;04-09-14;157;51734 Blaine Hill
93;460805;00-12-16;157;6 Jay Junction
94;73114;12-11-17;158;0 Derek Lane
95;686822;63-01-26;159;3 Mifflin Trail
96;805718;98-06-25;162;71 Meadow Valley Center
97;661212;13-03-06;162;43 Waxwing Pass
98;284769;78-05-10;168;7 Sachtjen Place
99;895922;14-09-13;170;08 Anniversary Pass
100;300910;19-04-19;170;9 Forest Run Terrace
