id_mov;presupuesto;fecha;ONG
1;285005;17-10-03;Senger Inc
2;313823;81-03-03;Rowe-Fisher
3;606140;12-10-27;Waelchi-Borer
4;627148;66-05-01;Kulas Inc
5;597296;14-04-17;Gutkowski-Nikolaus
6;539154;07-09-30;Jenkins Group
7;654165;10-06-09;Lakin-Bruen
8;754777;10-02-26;Breitenberg
9;932449;96-11-08;Klein-Bartoletti
10;461147;12-11-19;Dare, Hessel And Mckenzie
11;702863;82-04-25;Corkery
12;474369;88-05-30;Kutch, Rodriguez And Hettinger
13;322096;01-12-30;Dooley-Runolfsson
14;345173;92-01-14;Dickens-Klein
15;323125;16-07-03;Keeling, Bruen And Greenholt
16;453848;93-08-07;Kuhlman, Bashirian And Abbott
17;959843;86-11-17;Aesco
18;995520;19-03-15;Mertz, Batz And Olson
19;844773;09-04-04;Dietrich
20;432137;12-01-04;Torphy, Marquardt And Oberbrunner
21;887017;07-08-07;Volkman, Kulas And Hodkiewicz
22;971434;17-08-04;Murphy-Kunde
23;537270;18-01-19;Littel, Bode And Dibbert
24;130741;81-11-04;Johnston-Spinka
25;851342;92-01-13;Schmidt, Reinger And Zulauf
26;864006;64-03-26;Gusikowski, Luettgen And Cremin
27;413587;11-02-25;Nicolas, Smitham And Wilderman
28;228133;82-04-27;Goyette, Huels And Champlin
29;185431;81-08-18;Dicki
30;833814;83-02-03;Ratke, Swaniawski And Spinka
31;194005;99-07-02;Hegmann And Sons
32;650739;00-09-21;Goyette
33;579517;57-03-30;Stokes, Kilback And Boyle
34;17688;02-02-01;Lueilwitz
35;926538;90-07-12;Adenex
36;625945;93-10-20;Rolfson And Sons
37;579836;12-07-24;Donnelly-Abbott
38;58210;06-05-01;Hauck-Metz
39;448956;19-07-06;Pfeffer, Durgan And Hayes
40;195464;92-03-06;Kilback
41;960616;61-08-05;Johnson And Sons
42;930479;18-11-14;Zboncak Inc
43;606836;80-07-28;Jenkins Group
44;146857;11-12-29;Dooley, Lindgren And Kub
45;5005;05-03-04;Rau, Ryan And Lueilwitz
46;474569;01-04-22;Cruickshank, Nienow And Abbott
47;779888;06-03-04;Strosin
48;839557;71-08-07;Fisher, Cummings And Rowe
49;459020;15-07-13;Schroeder-Wiza
50;581585;19-06-10;Deckow And Sons
51;384397;16-03-12;Mertz, Boyle And Franecki
52;495127;03-12-18;Braun-Simonis
53;505722;03-04-28;África Digna
54;654622;18-02-01;Abshire Inc
55;318552;85-07-07;Paucek Group
56;694608;72-12-04;Abernathy
57;721387;72-04-09;Leffler-Durgan
58;591423;92-08-13;Adecoi
59;856940;02-05-25;Sporer And Sons
60;161852;91-05-12;Senger-Bogisich
61;78241;19-01-14;Doyle, Ernser And Pacocha
62;718556;85-10-28;Kunde-Lowe
63;593170;11-06-21;Schimmel-Beatty
64;991931;85-01-29;Howe-Kreiger
65;53935;95-09-12;Moen, Koss And Paucek
66;959938;98-04-18;D'Amore And Sons
67;685925;07-04-20;Nader-Kutch
68;370908;87-08-15;Kunze-Ernser
69;12006;87-07-12;Rau, Ryan And Lueilwitz
70;871093;87-07-11;Deckow And Sons
71;767649;06-11-19;Sauer-Stoltenberg
72;323146;61-01-11;Koch-Schneider
73;292060;08-01-14;Prohaska-Lueilwitz
74;840258;05-03-22;Sipes Group
75;417874;90-09-01;Mertz Inc
76;506624;87-11-29;Schmidt, Ryan And Jacobson
77;881213;04-08-10;Mcclure, Klocko And Wyman
78;544431;12-03-25;Kuhlman, Bashirian And Abbott
79;550703;15-06-16;Rath-Quitzon
80;859171;80-09-12;Breitenberg And Sons
81;753722;19-01-29;Abbott Group
82;282665;96-12-19;Afs Intercultura
83;762865;12-11-28;Friesen-Pfeffer
84;901513;07-06-13;Hilll-Lemke
85;664174;19-06-05;Herman, Luettgen And Balistreri
86;531082;00-06-03;Littel, Bode And Dibbert
87;999841;02-11-21;Green, Towne And Baumbach
88;522970;13-10-31;Hills-Quitzon
89;398197;14-03-03;Walter-Littel
90;304814;19-02-24;Jerde-Lowe
91;897727;08-08-19;Leffler Group
92;352996;04-09-14;Mante, Ferry And Corwin
93;460805;00-12-16;Ziemann
94;73114;12-11-17;Schaefer, Bednar And Welch
95;686822;63-01-26;Gottlieb
96;805718;98-06-25;Barrows-Sauer
97;661212;13-03-06;Hoeger
98;284769;78-05-10;Murazik
99;895922;14-09-13;Abbott
100;300910;19-04-19;Braun-Bechtelar
101;112145;11-11-28;Waters
102;24420;11-06-14;Kuhic-Zboncak
103;315037;04-06-25;Stracke Group
104;529625;00-10-12;Farrell Group
105;458637;83-10-13;Hills-Quitzon
106;605169;10-10-04;Paucek Group
107;780752;85-04-23;Luettgen Group
108;496614;03-07-22;Herman, Luettgen And Balistreri
109;817510;99-03-28;Lebsack-Senger
110;710709;90-03-23;Kuhlman, Bashirian And Abbott
111;385737;91-07-07;Goldner-Klocko
112;389909;96-03-15;Bradtke-Wilkinson
113;461409;06-06-06;Lakin, Smitham And Greenholt
114;908452;88-11-01;Zieme Group
115;942236;68-12-16;Raynor
116;736492;18-03-01;Gulgowski-Spinka
117;926743;93-04-10;Pfeffer, Durgan And Hayes
118;976574;60-06-20;Acción Natura
119;79251;06-08-29;Harber Inc
120;777406;88-09-09;Pollich-Treutel
121;230160;77-03-07;Waters, Batz And Dickinson
122;946597;14-01-30;Bruen, Macgyver And Deckow
123;447843;80-02-01;Dubuque And Sons
124;723144;00-12-05;Schmidt, Reinger And Zulauf
125;682663;14-11-07;Grimes, Leuschke And Huel
126;350665;84-07-22;Strosin
127;564173;16-03-30;Hills Inc
128;652013;12-08-01;Wilkinson-Schmidt
129;576558;17-12-06;Miller-Luettgen
130;692457;19-05-22;O'Keefe-Zulauf
131;262889;09-05-07;Gusikowski Inc
132;24821;65-01-01;Wunsch-Larson
133;364827;06-08-15;Flatley Group
134;601901;07-05-20;Konopelski, Schaefer And Feil
135;692067;17-11-01;Waters, Batz And Dickinson
136;734876;11-01-06;Erdman, Graham And Yost
137;276673;04-04-02;Wiza, Price And Jaskolski
138;679328;05-05-24;Koelpin-Hand
139;520034;87-12-04;Mueller-Simonis
140;828568;69-07-14;Macejkovic-Haag
141;926475;17-04-13;Goldner-Botsford
142;240968;92-02-11;Walsh, Hettinger And Grimes
143;975792;08-04-18;Towne-Lehner
144;939799;01-02-22;Kuphal
145;962571;11-10-07;Aesco
146;898939;17-08-18;Rolfson-Bashirian
147;811566;14-04-11;Tillman, Brakus And Padberg
148;926797;16-10-01;Brakus, White And Mueller
149;592223;01-01-06;Collins, Murray And O'Reilly
150;10653;66-12-28;Erdman, Braun And Runolfsson
151;773427;92-06-01;Adela Eh
152;27775;12-07-04;Glover, Dickens And Russel
153;363357;89-04-14;Pagac And Sons
154;665865;17-10-07;Hoeger, Zboncak And Hammes
155;993842;99-10-13;Lindgren, Padberg And Hand
156;935290;01-07-31;Macejkovic, Gusikowski And Keeling
157;956519;15-10-17;Daniel
158;713103;18-12-18;Osinski-Zemlak
159;493184;01-08-06;Purdy And Sons
160;181265;17-07-20;Runolfsdottir-Prosacco
161;806227;98-01-15;Mcclure, Klocko And Wyman
162;573130;93-06-24;Pfannerstill, Powlowski And Kreiger
163;780611;03-12-27;Luettgen And Sons
164;313959;95-02-14;Shields
165;949836;15-04-08;Collins, Collier And Herman
166;98225;00-07-27;Koss Group
167;955728;96-04-28;Lakin-Osinski
168;822084;74-09-26;Tillman, Brakus And Padberg
169;105414;78-07-23;Cremin Inc
170;760840;09-03-14;Bradtke Inc
171;824305;15-09-08;Ziemann
172;979402;04-01-12;Bergstrom, Barrows And Shields
173;786557;84-06-02;Hegmann, Koelpin And Lindgren
174;627122;01-07-19;Stokes, Kilback And Boyle
175;982029;18-02-22;Johnston-Rath
176;32295;02-02-27;Ritchie-Rath
177;303623;18-05-28;Pacocha-Heller
178;615539;08-04-25;Cronin, Gibson And Parisian
179;527348;19-01-18;O'Reilly Group
180;941869;13-02-07;Zulauf Group
181;49108;74-10-19;Schiller-Mitchell
182;522572;61-09-01;Emard, Zemlak And Beier
183;630024;19-04-29;Legros Group
184;41469;02-06-14;Hilll-Lemke
185;569978;11-08-05;Rowe-Fisher
186;167620;18-02-26;Berge
187;592773;70-05-16;King
188;337258;56-03-19;Schoen And Sons
189;305138;90-03-05;Torphy, Marquardt And Oberbrunner
190;746307;84-12-21;Pfeffer, Durgan And Hayes
191;782458;07-01-02;Fay, Hyatt And Rolfson
192;879558;04-02-21;Dicki
193;331112;15-05-25;Reichert And Sons
194;769633;87-05-25;Weissnat-Bergstrom
195;963249;07-10-18;Weber Inc
196;48377;19-02-10;Gutkowski-Nikolaus
197;361069;85-12-01;Walsh-Doyle
198;911601;88-02-23;Schuster
199;123569;16-03-19;Pagac, Huel And Abshire
200;17884;09-12-19;Gusikowski-Bechtelar
201;277494;13-03-12;Hettinger-Kuhic
202;75639;03-04-22;Bradtke Inc
203;721694;12-05-08;Volkman, Kulas And Hodkiewicz
204;99932;12-01-29;Macejkovic-Haag
205;209909;03-07-25;África-Edusa
206;975101;93-11-07;Jenkins-Kemmer
207;723388;13-04-17;Haag, Beatty And Walker
208;441794;17-01-29;Feest-Graham
209;197109;89-12-08;Reichert And Sons
210;298153;78-11-16;Aufderhar
211;701162;02-10-09;Labadie, Veum And Hammes
212;892751;59-05-16;Mueller-Simonis
213;366439;03-05-21;Rice, Daniel And Klocko
214;763667;05-07-27;Cremin Inc
215;786188;81-10-23;Littel, Bode And Dibbert
216;603210;03-05-08;Satterfield And Sons
217;257828;07-03-05;Ullrich Inc
218;262770;02-02-23;Denesik And Sons
219;500632;99-07-19;Koch-Schneider
220;877044;97-04-08;Powlowski, Kohler And Deckow
221;644349;87-10-02;Mertz Group
222;305930;10-06-29;Pouros And Sons
223;72431;89-02-07;Boyer Inc
224;810542;82-02-08;Dickens-Boyle
225;425327;10-07-04;Dooley, Jerde And Kshlerin
226;771954;07-11-30;Gulgowski-Spinka
227;166148;98-07-16;Swaniawski-Sawayn
228;607958;03-07-10;Nicolas Group
229;261982;03-08-22;Hettinger
230;673993;16-11-02;Muller, Reichert And Grimes
231;809226;08-05-09;Towne
232;941084;12-03-25;Lubowitz, Weimann And Lemke
233;377810;03-08-10;Runolfsdottir-Prosacco
234;776276;11-05-23;Langworth
235;900206;18-10-14;Bradtke-Wilkinson
236;504463;75-02-06;Dubuque, Gaylord And Cole
237;426981;16-09-11;Halvorson
238;616505;95-10-11;África Arco Iris
239;365970;00-08-10;Mckenzie Inc
240;552722;98-10-12;Lynch, Feest And Eichmann
241;740014;13-03-03;Abbott
242;498139;15-09-25;Towne-Lehner
243;71245;00-05-03;Schroeder-Hamill
244;931212;17-12-08;Keebler
245;611931;07-11-29;Stracke And Sons
246;150389;14-03-04;Grady, Nicolas And Blick
247;810501;86-08-15;Rice, Ondricka And Block
248;999551;87-11-24;Rath Group
249;390120;19-04-29;Monahan-Grimes
250;409946;73-01-15;Mckenzie, Cummings And Rippin
251;886090;16-06-04;Cartwright, Gusikowski And Miller
252;776189;12-03-31;Weber Inc
253;171025;75-04-17;Simonis Inc
254;262625;13-04-03;Kuhlman, Bashirian And Abbott
255;990511;01-09-05;Pagac And Sons
256;993645;05-05-01;Adecoi
257;291405;04-08-01;Stracke Group
258;654495;94-11-28;Breitenberg, Kemmer And Schumm
259;184662;18-03-24;Stracke And Sons
260;549318;14-09-21;Connelly-Maggio
261;617319;19-06-07;Johnson, Batz And Davis
262;985318;94-11-05;Hauck Group
263;118560;12-06-02;Aecc
264;26066;67-04-06;Botsford, Bechtelar And Conn
265;729834;18-05-10;Gerlach, Fritsch And Rippin
266;990838;86-10-23;Botsford, Wuckert And Volkman
267;825605;91-07-22;Dare, O'Conner And Mohr
268;30692;03-03-15;Hermann
269;348063;17-02-09;Senger-Bogisich
270;30870;83-03-27;Kuhlman-Bernhard
271;513335;97-07-22;Hermiston And Sons
272;823897;00-03-03;Kuphal And Sons
273;701228;97-10-09;O'Reilly Group
274;483652;06-09-12;Nolan Group
275;20240;01-03-21;Considine-Weimann
276;619692;09-01-27;Quitzon Group
277;658591;67-09-28;Dooley-Runolfsson
278;141315;19-01-17;O'Hara
279;607135;10-08-04;Schmidt-Schinner
280;777672;62-06-21;Bergstrom, Barrows And Shields
281;953827;01-04-19;Kuhn, Sawayn And Welch
282;897281;79-05-07;Satterfield, Torp And O'Kon
283;848122;17-04-28;Dietrich
284;535761;11-09-19;Aufderhar-Blick
285;166630;09-01-15;Bashirian, Greenholt And Russel
286;729355;70-02-15;Oberbrunner, Cremin And Gislason
287;5489;15-11-02;Purdy And Sons
288;24700;19-03-25;Heller, Lubowitz And Dach
289;450806;12-04-23;Adega
290;260089;15-10-11;Blick, Harber And Smith
291;295010;07-05-22;Cronin
292;145683;04-03-19;Afro_Aid
293;174812;61-04-01;Gutkowski-Schinner
294;920889;98-01-09;Kreiger-Mccullough
295;7476;15-01-12;Mccullough, Luettgen And Brakus
296;27688;08-05-02;Rolfson And Sons
297;702944;91-06-26;Bayer-Bashirian
298;895301;16-02-04;Gusikowski, Luettgen And Cremin
299;406450;15-07-11;Towne-Hamill
300;759048;03-06-04;Okuneva
301;459763;11-09-09;Gulgowski-Spinka
302;496157;16-12-10;Bruen, Kulas And Hodkiewicz
303;701256;05-04-20;Kutch, Will And Grant
304;265448;13-07-09;Bartoletti-Daniel
305;48392;90-11-27;Daniel Inc
306;901121;77-04-24;África Digna
307;755515;93-01-26;Sanford
308;952215;84-06-27;O'Hara
309;119677;14-03-25;Mcclure, Klocko And Wyman
310;951530;10-08-21;Bruen, Kulas And Hodkiewicz
311;511683;76-01-17;Sanford-Kovacek
312;332161;09-06-30;Hartmann And Sons
313;298473;06-11-22;Padberg Group
314;975789;13-07-29;Blick, Harber And Smith
315;858575;98-02-05;Breitenberg, Kemmer And Schumm
316;119688;15-04-09;Pollich-Treutel
317;872868;01-05-03;Wisozk, Smitham And Wisoky
318;804634;74-06-05;Acción Familiar
319;988580;16-02-23;Zboncak-Mraz
320;520250;83-11-17;Dibbert, Mckenzie And Cronin
321;204939;18-06-26;Torphy, Adams And Walter
322;977298;09-07-19;Stiedemann, Willms And Fay
323;234382;15-10-31;Langworth
324;183548;93-06-16;Casper-Jacobson
325;85605;69-06-29;Kuphal And Sons
326;873161;12-11-20;Carroll-Moen
327;254137;02-07-06;Hoppe-Zboncak
328;65407;98-12-14;Beer, Zieme And Huels
329;886775;10-10-15;Jenkins And Sons
330;541513;70-12-15;Howe-Kreiger
331;870151;97-12-25;Abbott Group
332;452251;09-09-30;Price Inc
333;130946;04-07-03;Kshlerin, Hahn And Gulgowski
334;79406;02-08-08;Gibson-Hills
335;344437;81-11-20;Upton, Boehm And Haag
336;561529;12-04-18;Simonis-Torphy
337;50439;17-11-23;Eichmann-Streich
338;204859;68-01-01;Kozey-Stoltenberg
339;265053;19-03-22;Schmidt, Ryan And Jacobson
340;2101;97-07-31;Botsford, Bechtelar And Conn
341;730223;10-07-06;Bergstrom-O'Conner
342;569954;14-06-10;Adecoi
343;484074;08-08-14;Runolfsdottir And Sons
344;543669;87-05-07;Bechtelar-Wuckert
345;274486;08-09-04;Buckridge Group
346;44416;12-12-18;Feil, Kemmer And Koch
347;539346;99-11-12;Bartell Inc
348;606427;04-09-16;Heller, Bradtke And Stoltenberg
349;281733;96-12-08;Williamson-Littel
350;657827;97-05-07;Lesch-Homenick
351;210387;09-08-25;Champlin-Bauch
352;811804;95-12-23;O'Keefe-Zulauf
353;940677;17-12-07;Torphy, Marquardt And Oberbrunner
354;9036;12-01-10;Abbott Group
355;881501;18-01-24;Wuckert
356;242376;14-10-09;Grant-Schaden
357;344463;91-01-07;Mraz-Eichmann
358;275970;72-10-06;Dooley, Jerde And Kshlerin
359;657335;19-04-15;Boyle, Walsh And Blanda
360;992130;96-09-16;Emard-Stroman
361;524633;76-03-30;King
362;282550;85-06-17;Jenkins-Kemmer
363;389432;06-03-08;Kunze-Ernser
364;595332;76-01-12;Conroy, Wisoky And Daniel
365;552380;15-03-07;Hackett, Lockman And Littel
366;14694;01-02-14;D'Amore And Sons
367;364129;14-08-01;Hauck-Metz
368;94294;06-04-05;Kozey Inc
369;975516;10-05-03;Hane, Buckridge And Kuhn
370;832353;07-01-05;Dubuque And Sons
371;819693;02-08-12;Goldner, Kertzmann And Paucek
372;764918;95-11-16;Russel, Kemmer And Pacocha
373;188662;99-10-08;Cremin And Sons
374;30546;01-04-24;Glover-Nader
375;106325;70-10-22;Predovic-Graham
376;136853;84-09-17;Barrows-Sauer
377;902260;71-02-17;Buckridge, Okuneva And Keebler
378;261828;02-11-17;Heaney, Feest And Murphy
379;751496;14-11-30;Schowalter-Senger
380;229062;00-08-07;Bosco And Sons
381;843758;17-01-10;Kling, Donnelly And Blanda
382;387318;80-11-19;Maggio-Kuvalis
383;44311;94-11-01;Lesch And Sons
384;312266;89-09-10;Mertz Group
385;781049;18-09-11;Skiles-Schamberger
386;186312;10-10-16;Price-Shields
387;574084;18-11-17;Johnston Group
388;110459;05-02-07;Senger, Kemmer And Dickinson
389;677623;10-08-24;Nolan Group
390;712935;03-12-27;Schiller-Mitchell
391;16968;81-04-02;Bartoletti-Kunde
392;196657;10-01-28;Schiller-Reilly
393;57454;08-11-04;Paucek
394;718804;05-03-21;Doyle-Powlowski
395;997033;14-11-01;Marvin-Kautzer
396;92594;90-11-22;Upton-O'Keefe
397;394220;71-09-03;Brown
398;918582;07-06-25;Bednar-Crist
399;944265;99-06-30;Kuhic Inc
400;634851;18-08-24;Smith-Schowalter
401;982918;13-10-24;Predovic, O'Conner And Gutkowski
402;762225;91-07-16;Gaylord-Torphy
403;924592;60-01-09;Cole, Reichert And Halvorson
404;652803;10-03-04;Heaney, Feest And Murphy
405;175857;17-09-14;Schroeder-Hamill
406;58681;03-02-22;Jacobi-Bergnaum
407;798605;00-04-29;Feil, Shields And Gislason
408;33748;88-08-11;Buckridge Group
409;191797;88-03-20;Johnson, Batz And Davis
410;725530;94-04-03;África Viva
411;293638;10-10-06;Wiegand Group
412;727508;04-04-27;Feil-Nikolaus
413;996553;62-05-07;Dietrich And Sons
414;213586;02-03-30;Afesip
415;411554;79-10-15;Goldner-Klocko
416;15818;92-09-03;Weber Inc
417;583665;88-04-16;Abbott
418;695147;19-02-11;Becker, Haag And Hammes
419;810193;18-02-16;Mcglynn
420;839483;13-02-05;Emmerich, Feil And Gorczany
421;36437;18-07-07;Rutherford Group
422;378472;08-10-19;Mcclure Group
423;332870;00-05-11;Gerlach-Leuschke
424;277744;07-09-11;Koch
425;121796;16-06-28;Daniel Inc
426;456865;99-03-25;Hilll-Tromp
427;270067;55-11-25;Champlin-Bauch
428;120649;98-03-27;Wilderman-Leannon
429;604834;82-10-08;Oberbrunner
430;57900;19-08-02;Oberbrunner
431;271967;17-01-15;Shields-Kuhlman
432;325681;96-08-13;Gutkowski, Huel And Murazik
433;854782;17-07-14;Volkman, Kulas And Hodkiewicz
434;969994;16-02-05;Afro_Aid
435;953292;18-07-09;Moore-Lueilwitz
436;36932;08-05-19;Murray, Monahan And Hilll
437;848055;19-07-31;Jacobs, Hand And Powlowski
438;520708;60-04-02;Terry Inc
439;734377;15-07-16;Buckridge, Okuneva And Keebler
440;408553;16-05-06;Quitzon-Stark
441;246036;06-04-10;Mohr, Monahan And Hermiston
442;922117;96-05-11;Walsh-Doyle
443;163047;19-07-13;Keebler
444;209341;79-02-03;Nolan, Reynolds And Waters
445;553178;14-04-02;Brekke-Crist
