id_mov;ONG;proyecto
1;Senger Inc;Elenita
2;Rowe-Fisher;The Community Financial Corporation
3;Waelchi-Borer;Envision Healthcare Corporation
4;Kulas Inc;Azul S.A.
5;Gutkowski-Nikolaus;XO Group, Inc.
6;Jenkins Group;SQM - Yumbes
7;Lakin-Bruen;LM Funding America, Inc.
8;Breitenberg ;Gray Television, Inc.
9;Klein-Bartoletti;Carola
10;Dare, Hessel And Mckenzie;SQM Salar
11;Corkery ;Janus Henderson Small Cap Growth Alpha ETF
12;Kutch, Rodriguez And Hettinger;GlaxoSmithKline PLC
13;Dooley-Runolfsson;Container Store (The)
14;Dickens-Klein;Vectrus, Inc.
15;Keeling, Bruen And Greenholt;Terreno Realty Corporation
16;Kuhlman, Bashirian And Abbott;Quiborax
17;Aesco;Andina
18;Mertz, Batz And Olson;San Gerónimo
19;Dietrich ;Cabot Corporation
20;Torphy, Marquardt And Oberbrunner;PowerShares Golden Dragon China Portfolio
21;Volkman, Kulas And Hodkiewicz;SQM - Pampa Blanca
22;Murphy-Kunde;El Salvador
23;Littel, Bode And Dibbert;Impax Laboratories, Inc.
24;Johnston-Spinka;Dorado
25;Schmidt, Reinger And Zulauf;Colico Sur
26;Gusikowski, Luettgen And Cremin;III de Atacama Kozan
27;Nicolas, Smitham And Wilderman;Quiborax - Ascotán
28;Goyette, Huels And Champlin;Drive Shack Inc.
29;Dicki ;Dynatronics Corporation
30;Ratke, Swaniawski And Spinka;STMicroelectronics N.V.
31;Hegmann And Sons;Elkhorn Commodity Rotation Strategy ETF
32;Goyette ;Nutanix, Inc.
33;Stokes, Kilback And Boyle;Dorado
34;Lueilwitz ;Gilat Satellite Networks Ltd.
35;Adenex;iShares 20+ Year Treasury Bond ETF
36;Rolfson And Sons;CMP - Boquerón Chañar
37;Donnelly-Abbott;Los Bronces
38;Hauck-Metz;Inseego Corp.
39;Pfeffer, Durgan And Hayes;Silicon Laboratories, Inc.
40;Kilback ;Costamare Inc.
41;Johnson And Sons;Garrison Capital Inc.
42;Zboncak Inc;Franke
43;Jenkins Group;Avon Products, Inc.
44;Dooley, Lindgren And Kub;Arch Capital Group Ltd.
45;Rau, Ryan And Lueilwitz;Salesforce.com Inc
46;Cruickshank, Nienow And Abbott;First Trust Senior Loan Fund ETF
47;Strosin ;Apple Hospitality REIT, Inc.
48;Fisher, Cummings And Rowe;Vectrus, Inc.
49;Schroeder-Wiza;Cosayach - Cala Cala
50;Deckow And Sons;Cyclacel Pharmaceuticals, Inc.
51;Mertz, Boyle And Franecki;First Trust International Multi-Asset Diversified Income Index
52;Braun-Simonis;Choquelimpie
53;África Digna;Clifton Bancorp Inc.
54;Abshire Inc;Pepsico, Inc.
55;Paucek Group;Ministro Hales
56;Abernathy ;Dorado
57;Leffler-Durgan;Manto Verde
58;Adecoi;Bright Scholar Education Holdings Limited
59;Sporer And Sons;Manto Verde
60;Senger-Bogisich;HollyFrontier Corporation
61;Doyle, Ernser And Pacocha;DRDGOLD Limited
62;Kunde-Lowe;Inacesa - El Way
63;Schimmel-Beatty;Blackstone GSO Long Short Credit Income Fund
64;Howe-Kreiger;Carola
65;Moen, Koss And Paucek;Hawkins, Inc.
66;D'Amore And Sons;United Microelectronics Corporation
67;Nader-Kutch;Hamilton Lane Incorporated
68;Kunze-Ernser;Don Alberto
69;Rau, Ryan And Lueilwitz;Andina
70;Deckow And Sons;United Microelectronics Corporation
71;Sauer-Stoltenberg;First Trust International Multi-Asset Diversified Income Index
72;Koch-Schneider;Orbotech Ltd.
73;Prohaska-Lueilwitz;Microsemi Corporation
74;Sipes Group;Shutterstock, Inc.
75;Mertz Inc;El Morro
76;Schmidt, Ryan And Jacobson;Sierra Gorda
77;Mcclure, Klocko And Wyman;Inseego Corp.
78;Kuhlman, Bashirian And Abbott;Envision Healthcare Corporation
79;Rath-Quitzon;Spark Energy, Inc.
80;Breitenberg And Sons;Dorado
81;Abbott Group;El Tofo
82;Afs Intercultura;Cogentix Medical, Inc.
83;Friesen-Pfeffer;Sarepta Therapeutics, Inc.
84;Hilll-Lemke;Sierra Oncology, Inc.
85;Herman, Luettgen And Balistreri;Eagle Bulk Shipping Inc.
86;Littel, Bode And Dibbert;KT Corporation
87;Green, Towne And Baumbach;BlackRock Municipal Target Term Trust Inc. (The)
88;Hills-Quitzon;Taiwan Fund, Inc. (The)
89;Walter-Littel;TICC Capital Corp.
90;Jerde-Lowe;JA Solar Holdings, Co., Ltd.
91;Leffler Group;Choquelimpie
92;Mante, Ferry And Corwin;Western Refining Logistics, LP
93;Ziemann ;Abeona Therapeutics Inc.
94;Schaefer, Bednar And Welch;Cosayach - Negreiros
95;Gottlieb ;SeaChange International, Inc.
96;Barrows-Sauer;Voya Global Equity Dividend and Premium Opportunity Fund
97;Hoeger ;Data Processing
98;Murazik ;Manantial
99;Abbott ;PrivateBancorp, Inc.
100;Braun-Bechtelar;Xenia Hotels & Resorts, Inc.
101;Waters ;El Peñón
102;Kuhic-Zboncak;AGCO Corporation
103;Stracke Group;HCA Healthcare, Inc.
104;Farrell Group;Commercial Vehicle Group, Inc.
105;Hills-Quitzon;Fair Isaac Corporation
106;Paucek Group;Hurco Companies, Inc.
107;Luettgen Group;Pucobre
108;Herman, Luettgen And Balistreri;Andes Travertine
109;Lebsack-Senger;Dorado
110;Kuhlman, Bashirian And Abbott;Anheuser-Busch Inbev SA
111;Goldner-Klocko;La Patagua
112;Bradtke-Wilkinson;Nabriva Therapeutics AG
113;Lakin, Smitham And Greenholt;Ulta Beauty, Inc.
114;Zieme Group;Delcath Systems, Inc.
115;Raynor ;Orbotech Ltd.
116;Gulgowski-Spinka;Aircastle Limited
117;Pfeffer, Durgan And Hayes;Financial Engines, Inc.
118;Acción Natura;Dynex Capital, Inc.
119;Harber Inc;El Teniente
120;Pollich-Treutel;First Financial Bankshares, Inc.
121;Waters, Batz And Dickinson;Fair Isaac Corporation
122;Bruen, Macgyver And Deckow;Global Partner Acquisition Corp.
123;Dubuque And Sons;Cogentix Medical, Inc.
124;Schmidt, Reinger And Zulauf;Diamond Hill Investment Group, Inc.
125;Grimes, Leuschke And Huel;Bright Scholar Education Holdings Limited
126;Strosin ;Cerro Colorado
127;Hills Inc;Mantos de la Luna
128;Wilkinson-Schmidt;Chunghwa Telecom Co., Ltd.
129;Miller-Luettgen;Westbury Bancorp, Inc.
130;O'Keefe-Zulauf;Garrison Capital Inc.
131;Gusikowski Inc;RenaissanceRe Holdings Ltd.
132;Wunsch-Larson;El Volcán
133;Flatley Group;Elenita
134;Konopelski, Schaefer And Feil;El Tesoro
135;Waters, Batz And Dickinson;HD Supply Holdings, Inc.
136;Erdman, Graham And Yost;United Microelectronics Corporation
137;Wiza, Price And Jaskolski;First Trust Senior Loan Fund ETF
138;Koelpin-Hand;India Fund, Inc. (The)
139;Mueller-Simonis;Kilroy Realty Corporation
140;Macejkovic-Haag;Kilroy Realty Corporation
141;Goldner-Botsford;Guanaco
142;Walsh, Hettinger And Grimes;PrimeEnergy Corporation
143;Towne-Lehner;Clear Channel Outdoor Holdings, Inc.
144;Kuphal ;Yelp Inc.
145;Aesco;Marte Lobo
146;Rolfson-Bashirian;Data Processing
147;Tillman, Brakus And Padberg;SolarEdge Technologies, Inc.
148;Brakus, White And Mueller;Forterra, Inc.
149;Collins, Murray And O'Reilly;San José
150;Erdman, Braun And Runolfsson;CMP - Cerro Negro Norte
151;Adela Eh;UMH Properties, Inc.
152;Glover, Dickens And Russel;Collahuasi
153;Pagac And Sons;Nuveen Connecticut Quality Municipal Income Fund
154;Hoeger, Zboncak And Hammes;Biocept, Inc.
155;Lindgren, Padberg And Hand;Arista Networks, Inc.
156;Macejkovic, Gusikowski And Keeling;Haldeman - Sagasca
157;Daniel ;Forterra, Inc.
158;Osinski-Zemlak;Appliance Recycling Centers of America, Inc.
159;Purdy And Sons;Independence Holding Company
160;Runolfsdottir-Prosacco;Johnson & Johnson
161;Mcclure, Klocko And Wyman;Las Piedras
162;Pfannerstill, Powlowski And Kreiger;Nuveen Energy MLP Total Return Fund
163;Luettgen And Sons;Texas Pacific Land Trust
164;Shields ;Las Piedras
165;Collins, Collier And Herman;MiMedx Group, Inc
166;Koss Group;SeaChange International, Inc.
167;Lakin-Osinski;Inseego Corp.
168;Tillman, Brakus And Padberg;China Lodging Group, Limited
169;Cremin Inc;ENGlobal Corporation
170;Bradtke Inc;SAP SE
171;Ziemann ;Marte Lobo
172;Bergstrom, Barrows And Shields;L.B. Foster Company
173;Hegmann, Koelpin And Lindgren;CMP - Boquerón Chañar
174;Stokes, Kilback And Boyle;United Microelectronics Corporation
175;Johnston-Rath;Dupont Fabros Technology, Inc.
176;Ritchie-Rath;Natl Westminster Pfd
177;Pacocha-Heller;Franke
178;Cronin, Gibson And Parisian;E.I. du Pont de Nemours and Company
179;O'Reilly Group;Escondida
180;Zulauf Group;Costamare Inc.
181;Schiller-Mitchell;Tootsie Roll Industries, Inc.
182;Emard, Zemlak And Beier;BlackRock Municipal Target Term Trust Inc. (The)
183;Legros Group;Peabody Energy Corporation
184;Hilll-Lemke;PrimeEnergy Corporation
