número;región de tramitación;comuna de tramitación
75773-26740-LB;VI del Libertador General Bernardo O'Higgins;Doñihue
34339-73469-DD;Metropolitana de Santiago;Vitacura
54011-96023-OK;Metropolitana de Santiago;Paine
2244-72747-GF;VI del Libertador General Bernardo O'Higgins;Lolol
17957-30003-BH;VI del Libertador General Bernardo O'Higgins;Nancagua
43389-17096-KF;V de Valparaíso;San Felipe
2002-34561-KI;VIII del Bío-Bío;Alto Biobío
63367-11983-DJ;IX de La Araucanía;Purén
2504-44007-AF;IX de La Araucanía;Traiguén
33320-81227-MN;V de Valparaíso;Olmué
62440-59688-NJ;VIII del Bío-Bío;Contulmo
68967-37715-HF;III de Atacama;Diego de Almagro
97979-38840-LN;XIV de Los Ríos;Mariquina
38180-81955-HN;X de Los Lagos;Maullín
63660-87622-GK;V de Valparaíso;Hijuelas
27387-51955-DB;Metropolitana de Santiago;Vitacura
63474-79491-NL;XII de Magallanes y de La Antártica Chilena;Porvenir
78084-20738-MG;VIII del Bío-Bío;San Pedro de la Paz
91317-16257-JD;Metropolitana de Santiago;Maipú
68274-28037-DB;Metropolitana de Santiago;Lampa
69769-48009-DF;VII del Maule;Pencahue
21666-4918-LM;VII del Maule;Hualañé
22045-72513-HE;VI del Libertador General Bernardo O'Higgins;Rancagua
75254-18562-BG;Metropolitana de Santiago;Isla de Maipo
2063-7789-BO;V de Valparaíso;La Ligua
905-28507-GO;III de Atacama;Chañaral
52333-84416-IN;V de Valparaíso;Cabildo
12535-65611-EJ;VIII del Bío-Bío;Cañete
50401-33014-MH;IX de La Araucanía;Pucón
82881-34480-EO;XVI de Ñuble;Portezuelo
11817-9928-JE;VII del Maule;Pencahue
61746-68518-BJ;VIII del Bío-Bío;Santa Bárbara
43657-42960-IA;II de Antofagasta;Ollagüe
95243-20001-GH;VIII del Bío-Bío;Mulchén
29968-9653-BF;IX de La Araucanía;Vilcún
21783-68052-KN;IX de La Araucanía;Pitrufquén
86130-28257-LF;IV de Coquimbo;Paiguano
28723-63556-FF;VII del Maule;Retiro
50919-91480-IB;VI del Libertador General Bernardo O'Higgins;La Estrella
48923-74984-LA;II de Antofagasta;María Elena
34895-60990-HB;X de Los Lagos;Purranque
93654-84379-HB;VIII del Bío-Bío;Tomé
82408-35174-LM;XI de Aysén del General Carlos Ibáñez del Campo;Cochrane
45508-69257-DF;VIII del Bío-Bío;Lota
79471-48968-ND;VIII del Bío-Bío;Tomé
41836-71920-MK;I de Tarapacá;Huara
33283-88636-LE;IX de La Araucanía;Temuco
63370-35624-OO;Metropolitana de Santiago;Lo Espejo
26813-55880-DM;III de Atacama;Caldera
5183-96112-KG;IX de La Araucanía;Carahue
7010-70680-FA;VI del Libertador General Bernardo O'Higgins;Rengo
76528-76227-MG;Metropolitana de Santiago;Pirque
89919-27603-MB;VI del Libertador General Bernardo O'Higgins;Nancagua
48630-14370-IB;X de Los Lagos;Ancud
62543-40284-BD;III de Atacama;Alto del Carmen
26814-5298-OG;V de Valparaíso;Zapallar
76367-17037-EB;Metropolitana de Santiago;San Joaquín
65336-66323-EG;Metropolitana de Santiago;Tiltil
52920-15732-BN;Metropolitana de Santiago;Peñalolén
52585-5864-NH;VIII del Bío-Bío;San Pedro de la Paz
90536-26795-IB;Metropolitana de Santiago;La Florida
86941-76654-DH;IX de La Araucanía;Carahue
39666-22807-DD;XII de Magallanes y de La Antártica Chilena;Primavera
99064-65353-KE;Metropolitana de Santiago;Alhué
92225-62303-OF;XIV de Los Ríos;Mariquina
1170-92553-IG;Metropolitana de Santiago;Lo Barnechea
50895-76296-JG;VI del Libertador General Bernardo O'Higgins;Peumo
54809-98309-LJ;XI de Aysén del General Carlos Ibáñez del Campo;Guaitecas
6667-24651-BA;IX de La Araucanía;Nueva Imperial
46794-50871-AM;X de Los Lagos;Río Negro
81562-88231-NG;VII del Maule;San Clemente
70940-430-BI;VII del Maule;Río Claro
90711-94912-BI;XIV de Los Ríos;La Unión
26406-19514-LB;VI del Libertador General Bernardo O'Higgins;Requínoa
15034-91882-KH;VI del Libertador General Bernardo O'Higgins;Navidad
48926-92957-FH;II de Antofagasta;Taltal
20966-2287-GN;XVI de Ñuble;Pinto
23725-83303-FI;IX de La Araucanía;Saavedra
8987-8726-FE;IX de La Araucanía;Perquenco
84716-95928-KB;VIII del Bío-Bío;Tucapel
60301-70021-OB;IX de La Araucanía;Cunco
51770-46932-EK;VII del Maule;Licantén
17540-59554-MM;IV de Coquimbo;Monte Patria
40580-26655-IN;V de Valparaíso;Rinconada
70317-1761-FJ;I de Tarapacá;Huara
933-93899-ME;XI de Aysén del General Carlos Ibáñez del Campo;Coihaique
42348-65185-JM;VIII del Bío-Bío;Los Ángeles
52452-11632-DJ;X de Los Lagos;Maullín
25264-2574-LK;IX de La Araucanía;Carahue
31926-21178-EB;IX de La Araucanía;Pitrufquén
75887-7992-FG;VII del Maule;San Clemente
6084-94035-EK;X de Los Lagos;Quemchi
87965-7162-MB;VII del Maule;San Rafael
84505-25280-OE;VII del Maule;Colbún
80263-91423-JK;V de Valparaíso;Cabildo
59400-50499-AL;V de Valparaíso;Los Andes
35920-79778-IJ;VI del Libertador General Bernardo O'Higgins;Peumo
6950-31233-BM;VI del Libertador General Bernardo O'Higgins;Las Cabras
23974-56394-KG;X de Los Lagos;Puerto Varas
74438-67958-OM;VI del Libertador General Bernardo O'Higgins;Lolol
98051-99970-KB;VI del Libertador General Bernardo O'Higgins;Marchihue
11282-90991-EA;Metropolitana de Santiago;San Ramón
18823-87464-II;X de Los Lagos;Frutillar
62893-84561-HA;XVI de Ñuble;Pinto
68602-75315-MD;VII del Maule;Maule
8990-98288-HM;III de Atacama;Vallenar
71431-81235-HM;VI del Libertador General Bernardo O'Higgins;Coltauco
75740-71991-BI;VIII del Bío-Bío;Tomé
36229-99833-LA;VI del Libertador General Bernardo O'Higgins;Malloa
1381-4766-FB;Metropolitana de Santiago;Isla de Maipo
48173-64138-BI;Metropolitana de Santiago;Lo Espejo
84593-9887-DF;VIII del Bío-Bío;Contulmo
26874-39768-NG;XII de Magallanes y de La Antártica Chilena;San Gregorio
47931-32842-LM;Metropolitana de Santiago;Renca
88112-12976-BF;V de Valparaíso;Panquehue
67378-80654-OO;Metropolitana de Santiago;Maipú
