id_mov;presupuesto;fecha;tipo_contenido;duracion
15000;398534;88-10-17;spam;11
15001;111935;00-08-20;video;23
15002;873203;18-01-08;video;3
15003;766213;17-11-21;spam;38
15004;759108;16-10-27;spam;76
15005;469232;16-03-28;audio;6
15006;189484;98-09-13;imagenes;65
15007;517273;96-05-11;spam;55
15008;399825;13-10-10;spam;23
15009;602303;75-07-31;spam;20
15010;640226;03-03-23;audio;14
15011;868568;18-05-19;spam;60
15012;659490;88-04-13;spam;83
15013;509581;06-09-07;spam;70
15014;304386;90-12-19;imagenes;2
15015;393361;08-10-02;audio;19
15016;306076;16-12-01;audio;63
15017;833981;82-10-01;imagenes;75
15018;606032;89-12-17;spam;88
15019;314730;04-02-26;imagenes;16
15020;67184;75-07-29;video;78
15021;768731;78-05-10;video;10
15022;816121;05-12-05;spam;8
15023;651841;79-09-02;video;36
15024;360797;05-06-07;imagenes;66
15025;121538;93-01-23;video;11
15026;581597;13-08-14;video;75
15027;343376;02-08-04;spam;57
15028;388677;81-02-16;imagenes;23
15029;944959;65-05-30;video;89
15030;521976;19-08-10;audio;30
15031;904402;17-11-22;imagenes;76
15032;732792;87-02-18;audio;84
15033;414098;86-03-21;imagenes;22
15034;518260;03-01-08;imagenes;13
15035;703347;00-02-21;imagenes;19
15036;363980;87-05-20;video;76
15037;362094;17-06-02;imagenes;2
15038;50582;93-07-12;video;81
15039;144053;04-01-31;video;41
15040;13307;91-04-09;imagenes;62
15041;485874;19-02-23;imagenes;51
15042;528193;03-02-03;spam;72
15043;655932;16-10-31;video;47
15044;729922;82-06-04;audio;89
15045;408874;17-04-14;video;14
15046;767382;15-06-07;imagenes;69
15047;878522;94-01-12;video;18
15048;151098;90-12-02;spam;76
15049;541528;19-07-30;spam;30
15050;637789;19-07-14;video;87
15051;407202;18-07-22;imagenes;51
15052;693014;14-07-25;video;82
15053;898401;93-10-16;video;6
15054;187199;14-10-28;video;11
15055;315821;18-12-13;spam;21
15056;604087;15-06-06;audio;10
