pid,rid
266,1
21,2
189,3
441,4
135,5
103,6
402,7
98,8
368,9
400,10
286,11
23,12
390,13
141,14
444,15
183,16
362,17
249,18
421,19
21,20
242,21
236,22
2,23
296,24
260,25
114,26
285,27
47,28
417,29
110,30
440,31
177,32
257,33
170,34
66,35
56,36
376,37
434,38
83,39
142,40
73,41
358,42
33,43
368,44
201,45
272,46
182,47
338,48
84,49
384,50
274,51
450,52
390,53
213,54
216,55
73,56
12,57
89,58
57,59
128,60
376,61
255,62
201,63
171,64
352,65
341,66
227,67
396,68
106,69
162,70
407,71
163,72
340,73
141,74
219,75
183,76
213,77
384,78
419,79
411,80
118,81
436,82
328,83
103,84
297,85
200,86
67,87
70,88
101,89
59,90
167,91
77,92
297,93
22,94
426,95
302,96
26,97
224,98
60,99
145,100
117,101
349,102
102,103
343,104
41,105
157,106
125,107
206,108
345,109
247,110
399,111
219,112
369,113
34,114
276,115
100,116
447,117
302,118
416,119
345,120
109,121
136,122
434,123
151,124
96,125
296,126
263,127
122,128
383,129
175,130
141,131
79,132
1,133
26,134
56,135
168,136
421,137
449,138
180,139
174,140
335,141
433,142
350,143
282,144
211,145
114,146
346,147
335,148
307,149
58,150
141,151
309,152
41,153
34,154
112,155
301,156
49,157
323,158
393,159
330,160
73,161
333,162
278,163
203,164
100,165
273,166
421,167
205,168
314,169
368,170
25,171
374,172
329,173
100,174
31,175
372,176
253,177
345,178
324,179
74,180
375,181
289,182
83,183
379,184
196,185
144,186
208,187
268,188
240,189
157,190
278,191
158,192
447,193
143,194
27,195
324,196
22,197
276,198
234,199
343,200
298,201
228,202
244,203
384,204
157,205
429,206
259,207
171,208
261,209
377,210
125,211
48,212
448,213
438,214
414,215
100,216
420,217
120,218
264,219
205,220
319,221
105,222
334,223
246,224
216,225
241,226
303,227
101,228
434,229
35,230
226,231
402,232
101,233
2,234
102,235
219,236
241,237
306,238
334,239
327,240
270,241
72,242
65,243
171,244
329,245
382,246
208,247
268,248
108,249
398,250
221,251
287,252
8,253
441,254
387,255
109,256
349,257
286,258
360,259
48,260
193,261
306,262
212,263
240,264
98,265
383,266
61,267
182,268
79,269
154,270
53,271
79,272
318,273
54,274
399,275
291,276
55,277
334,278
241,279
49,280
173,281
41,282
175,283
272,284
354,285
392,286
444,287
341,288
163,289
335,290
229,291
390,292
63,293
400,294
113,295
229,296
352,297
78,298
353,299
324,300
430,301
86,302
228,303
191,304
439,305
258,306
13,307
11,308
180,309
446,310
411,311
363,312
284,313
24,314
443,315
162,316
350,317
235,318
159,319
73,320
82,321
149,322
220,323
234,324
376,325
132,326
406,327
13,328
333,329
156,330
192,331
36,332
344,333
249,334
449,335
83,336
16,337
442,338
446,339
344,340
341,341
333,342
445,343
86,344
16,345
22,346
23,347
312,348
37,349
37,350
163,351
310,352
101,353
382,354
46,355
37,356
5,357
121,358
354,359
370,360
178,361
108,362
306,363
105,364
73,365
17,366
17,367
332,368
262,369
111,370
239,371
219,372
61,373
14,374
437,375
53,376
208,377
305,378
124,379
154,380
45,381
250,382
423,383
307,384
259,385
309,386
378,387
117,388
263,389
141,390
447,391
343,392
203,393
237,394
274,395
353,396
7,397
52,398
263,399
377,400
37,401
304,402
345,403
119,404
407,405
110,406
205,407
167,408
443,409
49,410
11,411
269,412
327,413
96,414
400,415
103,416
200,417
406,418
442,419
237,420
80,421
211,422
169,423
227,424
205,425
150,426
253,427
413,428
78,429
245,430
40,431
26,432
269,433
237,434
25,435
333,436
35,437
263,438
406,439
215,440
190,441
44,442
450,443
65,444
108,445
307,446
278,447
195,448
293,449
185,450
225,451
170,452
57,453
27,454
137,455
270,456
121,457
380,458
445,459
185,460
246,461
323,462
265,463
422,464
226,465
116,466
13,467
288,468
399,469
198,470
41,471
134,472
264,473
75,474
132,475
226,476
290,477
322,478
66,479
132,480
343,481
269,482
325,483
144,484
225,485
327,486
446,487
8,488
175,489
375,490
359,491
345,492
152,493
235,494
407,495
265,496
173,497
34,498
130,499
449,500
15,501
344,502
164,503
367,504
276,505
10,506
279,507
421,508
13,509
201,510
100,511
237,512
190,513
115,514
298,515
4,516
210,517
38,518
330,519
443,520
400,521
333,522
167,523
16,524
307,525
196,526
450,527
380,528
252,529
70,530
79,531
294,532
275,533
423,534
151,535
268,536
159,537
45,538
129,539
76,540
392,541
257,542
274,543
165,544
176,545
41,546
444,547
249,548
217,549
333,550
8,551
293,552
164,553
355,554
366,555
356,556
359,557
78,558
230,559
105,560
103,561
20,562
251,563
57,564
48,565
191,566
257,567
427,568
383,569
87,570
116,571
409,572
206,573
223,574
99,575
174,576
252,577
149,578
30,579
424,580
5,581
204,582
295,583
256,584
201,585
109,586
59,587
221,588
285,589
254,590
65,591
405,592
129,593
167,594
435,595
193,596
133,597
448,598
207,599
47,600
318,601
259,602
370,603
26,604
388,605
343,606
140,607
205,608
405,609
269,610
294,611
155,612
92,613
176,614
393,615
51,616
379,617
191,618
271,619
148,620
434,621
342,622
226,623
439,624
391,625
28,626
418,627
420,628
356,629
331,630
422,631
415,632
388,633
147,634
105,635
449,636
213,637
57,638
250,639
448,640
404,641
334,642
367,643
224,644
138,645
315,646
210,647
441,648
29,649
444,650
360,651
24,652
156,653
63,654
302,655
343,656
198,657
117,658
210,659
136,660
218,661
184,662
416,663
22,664
74,665
100,666
319,667
105,668
377,669
443,670
282,671
158,672
181,673
127,674
23,675
