rid,fecha_dictamen
3,22-01-2011
4,31-03-2016
5,26-11-2018
9,06-10-2005
11,03-02-2018
20,09-03-2019
27,05-10-2018
29,03-11-2013
31,28-05-2012
32,05-12-2017
33,13-03-2019
34,04-04-2015
41,19-05-1992
42,04-01-2019
49,13-06-2019
50,13-09-2018
59,19-04-2013
61,05-07-2019
64,02-08-2005
66,16-07-1985
69,19-09-2016
71,21-10-1989
73,10-08-2019
76,22-02-2016
80,06-09-2018
81,01-08-2001
83,20-06-2013
85,21-05-2012
95,04-10-1995
96,25-12-2012
115,13-10-2016
116,23-08-2018
121,14-09-2015
126,10-08-2004
127,02-09-2010
130,24-04-2013
131,24-09-2014
132,05-02-2013
134,18-05-1998
135,19-01-1985
137,10-08-2019
143,10-07-2014
144,11-03-2009
145,13-03-2002
148,06-04-2018
151,04-03-2019
152,01-10-1995
155,29-06-2011
158,02-08-2002
160,09-01-2019
172,06-07-2001
174,25-03-2018
176,26-06-2016
179,03-02-2016
184,28-03-2009
188,27-08-2019
189,07-04-2018
192,16-03-2005
196,06-09-2011
199,17-06-2017
202,01-04-2004
204,22-07-2014
205,02-08-2019
207,31-10-1997
216,04-12-2011
217,31-01-2017
219,08-04-2017
222,30-12-2018
223,26-06-2019
224,09-10-1988
229,12-10-1992
233,30-07-2009
234,23-12-1984
235,17-05-2019
236,13-12-2012
241,14-04-2002
247,02-05-2016
249,28-11-2009
250,18-11-2016
255,07-04-2019
256,12-06-2019
259,12-01-2013
261,18-05-2018
264,07-09-2015
266,25-09-1974
268,26-02-2017
269,28-06-2019
280,16-02-2018
283,02-08-2015
285,13-09-2013
286,24-10-2012
287,09-02-2015
288,15-05-1973
289,04-12-2012
290,08-05-2014
291,25-04-1987
296,09-07-1989
299,13-01-2007
302,09-11-2015
303,31-12-2018
304,16-02-2019
305,20-11-2009
307,10-03-1992
309,30-03-2018
313,18-08-2012
317,30-01-2014
319,12-11-2017
324,26-08-2019
325,20-09-2000
329,20-05-2019
330,17-02-2018
331,16-08-2019
333,02-05-2017
340,01-11-2016
341,13-01-2002
344,11-02-2018
347,07-10-2018
348,22-01-2018
350,22-10-2011
351,15-05-2017
354,11-04-2017
355,11-08-1997
356,10-06-2009
360,20-04-2013
362,17-09-2015
365,11-05-2009
368,04-04-2019
375,15-11-2018
376,05-01-1980
377,06-03-2016
381,03-05-2018
382,11-03-2019
388,23-07-2017
389,02-05-2018
392,17-02-2008
401,23-11-2016
403,05-08-2019
408,05-03-1993
410,04-03-2019
415,29-08-2015
419,08-06-2017
425,09-05-1999
429,08-01-1996
431,19-09-1997
432,16-05-2017
433,19-08-2011
435,03-01-2015
437,06-07-2016
440,01-12-2006
441,17-02-2019
445,03-01-2011
446,18-01-2019
448,03-03-2005
450,07-05-2019
451,12-07-2014
452,20-11-2010
454,12-07-1989
456,05-05-1996
457,31-05-2015
458,14-09-2015
462,19-03-1973
464,22-08-2018
465,12-05-2017
467,07-03-2018
472,04-05-2019
474,04-01-2019
476,13-06-2019
488,23-08-2019
490,24-03-2018
491,27-09-1998
493,10-07-1996
494,27-05-2015
496,08-05-2018
505,31-07-2003
507,24-02-2011
511,14-11-1990
514,04-10-2017
516,30-04-2018
519,07-07-2019
524,29-01-1999
526,25-02-2006
528,01-02-1971
531,01-05-2017
532,17-08-2019
533,26-08-2009
537,27-01-2016
544,14-09-2016
545,10-07-1993
547,02-12-2008
548,12-04-2018
552,11-12-2018
553,09-01-2017
554,22-01-1992
557,25-10-2007
558,12-04-2009
559,05-12-2018
561,14-03-2016
566,01-11-1985
567,04-01-2016
568,29-06-2019
569,26-11-1995
571,16-06-2010
575,13-05-2013
576,03-07-2006
578,27-03-2011
580,12-04-2019
581,29-06-2015
583,05-02-2015
587,24-09-2008
593,16-06-2014
598,20-10-2013
601,14-11-2011
602,18-08-2019
603,21-08-2013
605,22-09-2001
608,12-01-2018
610,28-06-2019
611,03-07-2019
612,06-05-2000
613,13-11-1996
614,12-06-2010
616,05-01-2000
617,22-09-2011
618,06-03-2016
621,11-12-2010
626,24-11-2011
629,15-10-1994
630,02-07-2014
647,03-12-2017
655,23-08-2018
659,16-10-2017
660,06-02-2019
665,31-01-2012
666,30-06-2002
668,14-10-2017
669,26-08-2018
673,02-03-2019
676,11-03-2012
679,20-08-2019
681,06-09-2011
693,30-04-2016
698,31-05-2002
700,09-03-1975
704,01-08-2019
706,01-01-2000
707,26-05-2019
708,01-07-1998
709,28-08-2019
712,16-08-2008
713,08-09-2018
714,26-06-2013
719,22-10-2000
720,08-01-2013
723,02-04-2015
724,29-12-2005
725,16-05-2007
726,22-04-2018
729,06-08-2019
731,30-07-2018
732,02-09-2018
734,20-05-2010
736,25-12-2013
740,02-05-2019
741,21-07-2018
743,24-08-2007
746,26-12-2014
747,17-03-1991
756,16-05-2007
758,28-07-2017
762,11-08-2019
763,04-03-2018
764,06-02-2000
765,04-05-2002
771,08-08-1997
776,08-06-2008
780,27-02-2012
785,16-07-2016
798,24-08-2019
799,12-02-1997
802,01-02-2017
805,08-02-1982
806,16-08-1996
810,19-01-2011
811,31-05-2017
812,20-04-2016
813,08-07-2019
814,23-02-1975
822,25-10-1999
830,07-08-2016
832,01-08-2019
839,25-05-2014
842,18-04-2015
847,17-01-2010
849,02-07-2019
851,07-05-1988
854,18-12-2006
856,25-08-2018
858,29-06-2004
859,03-10-2011
863,18-12-2003
870,03-10-2008
871,25-04-2019
872,25-04-1995
873,22-12-2015
875,08-03-1991
879,18-07-1995
882,03-04-2019
891,16-06-1989
894,14-08-2018
896,03-12-2004
897,11-11-2014
898,03-01-1995
901,05-01-2019
902,13-02-2015
906,16-10-2003
910,04-02-1992
913,12-01-1992
921,21-04-2019
923,18-01-2006
928,23-03-2019
931,07-04-2018
932,17-11-2016
935,30-09-1964
943,26-10-2002
944,08-11-2009
957,25-08-2018
958,27-07-2018
959,12-07-2018
961,28-11-2018
962,27-01-2015
964,10-03-2001
965,03-07-2019
971,07-11-1981
973,02-03-2011
974,30-10-2016
982,31-12-2016
984,28-05-2010
986,15-11-1980
988,07-04-2007
989,14-04-1996
997,20-01-2009
998,26-09-2018
999,16-04-2019
1000,30-01-1985
1001,03-11-2016
1006,14-11-2011
1008,27-08-2007
1009,26-07-2016
1012,25-07-2013
1016,04-05-2000
1018,12-04-1979
1020,10-01-2006
1022,27-03-2009
1024,05-08-2012
1028,13-11-2013
1031,14-03-2019
1035,31-07-2015
1036,21-11-2006
1038,15-06-2017
1039,22-06-2019
1040,13-04-2015
1043,07-10-2018
1047,29-01-2015
1049,02-09-2012
1052,26-01-2018
1053,02-09-2005
1058,22-02-2017
1059,02-03-2016
1061,30-10-2018
1062,20-12-2011
1065,18-03-2019
1066,18-12-2007
1072,01-12-1984
1074,28-06-2016
1076,04-09-2012
1077,20-05-2017
1078,08-11-2004
1086,03-01-2006
1087,26-05-2019
1091,03-11-2016
1102,13-02-2017
1105,09-09-2013
1106,01-05-2001
1108,08-12-2017
1114,22-01-2014
1115,29-04-2014
1116,02-01-2014
1118,21-12-2007
1122,13-07-2001
1128,17-02-2019
1129,26-05-2007
1131,04-08-2019
1133,28-06-2016
1135,07-01-2019
1139,03-08-2012
1141,27-05-2011
1146,30-10-2018
1148,21-12-1975
1154,11-11-2017
1156,15-07-2019
1158,03-02-1980
1160,30-03-2000
1161,17-06-2002
1171,19-01-2004
1174,08-12-2014
1178,25-05-2018
1180,23-09-1990
1182,28-02-2019
1186,10-07-2016
1192,02-03-2005
1196,20-09-2018
1204,19-12-1988
1207,17-08-2019
1214,09-06-2009
1215,22-12-2004
1218,23-05-2018
1219,13-06-2019
1222,27-07-2013
1223,08-05-2019
1232,09-11-1991
1237,04-09-2009
1241,02-08-2019
1245,03-02-2019
1246,14-11-1999
1250,23-09-2010
1255,30-07-2019
1258,19-02-2000
1261,15-01-2018
1272,25-06-2017
1276,28-09-2007
1280,27-03-2019
1281,08-07-2014
1284,30-07-2019
1292,02-10-2009
1294,22-04-2016
1300,28-02-2004
1301,19-12-2006
1302,26-08-1999
1307,19-11-2015
1310,04-03-2014
1311,22-10-2017
1314,12-01-2019
1318,04-05-2002
1319,13-05-2006
1326,17-06-2014
1331,27-02-2003
1332,07-01-2007
1337,21-07-2010
1342,27-11-2013
1343,04-11-1995
1344,01-07-2018
1354,16-09-2018
1356,28-04-2005
1357,29-06-2018
1359,09-06-2009
1360,18-04-2015
1361,21-05-2009
1365,03-05-1996
1367,26-09-2015
1369,26-04-1996
1370,08-12-2018
1378,03-04-2016
1380,15-06-1982
1382,09-05-1981
1383,05-07-2019
1385,08-07-2016
1386,19-09-2015
1387,29-07-2018
1393,09-06-2005
1397,23-05-2017
1398,09-02-1992
1399,06-11-2005
1400,03-01-2018
1402,21-11-2010
1404,08-03-2003
1407,06-07-2015
1409,03-12-2000
1410,05-07-2004
1416,25-04-2014
1417,19-09-2010
1418,05-06-2004
1421,29-05-2019
1428,15-02-2011
1431,25-12-2001
1433,16-12-2018
1434,04-02-2012
1437,08-01-2004
1442,21-04-1991
1444,03-03-2004
1459,27-06-2017
1461,17-01-2016
1462,29-11-2018
1469,28-08-2016
1470,08-07-2018
1471,22-11-2009
1473,07-10-2010
1477,22-05-2016
1478,07-05-2006
1484,25-09-2018
1487,22-01-2010
1491,05-11-2017
1492,16-06-2019
1496,12-06-1979
1497,02-09-1991
1498,14-06-2018
1499,02-04-1971
1500,04-02-2017
1502,07-04-2016
1506,27-12-2018
1508,13-08-2019
1510,06-01-2019
1511,05-10-2016
1512,14-03-2019
1514,21-04-2010
1516,19-07-2018
1519,18-10-2018
1522,12-09-2009
1526,20-07-1997
1527,04-02-2016
1530,20-09-1983
1545,29-04-2012
1547,06-02-2019
1549,11-06-2017
1552,24-05-2019
1553,13-03-2008
1554,29-09-2016
1555,25-01-2019
1559,27-11-2013
1562,05-01-2018
1565,22-09-2012
1568,03-07-2018
1569,09-08-2008
1572,01-11-2016
1574,13-12-2017
1575,30-05-2006
1576,18-09-2018
1577,17-04-2010
1579,28-09-2012
1584,16-05-2010
1586,18-07-2014
